"","site_id","Event_Original","County","State","Waterbody.Name","Station.Name","Site.Seq.No","Swims.Station.Id","Fishkill.Inv.Seq.No","Investigation.Start.Date","Season","Season1","Year","Stream.Miles.or.Lake.Acres.Affected","Confidence.Of.Cause.Code","Cause.Category","Cause.Type","Mortality.Code","Detail.Cause.Type","Investigation.Start.Month","Cause.Category.4","Min.Kill.Size","Bass","Bigmouth.Buffalo","Bowfin","Bluegill","Bullhead","Carp","Catfish","Chub","Cisco","Crappie","Dace","Darter","Dogfish","Drum","Freshwater.Drum","Gizzard.Shad","Golden.Shiner","Minnow","Muskies","Perch","Pike","Pumpkinseed","Round.Goby","Sculpin","Shorthead.Redhorse","Stickleback","Sturgeon","Suckerfish","Sunfish","Sunnies","Trout","Walleye","Lat","Long","Event","Brown.Trout","Channel.Catfish","Gar","Largemouth.Bass","Northern.Pike","Rainbow.Smelt","Rock.Bass","Sauger","Smallmouth.Bass","Stonecat","White.Sucker","Whitefish","Yellow.Perch","Snail","Crayfish","Frogs","X..Fish.Species.Confirmed","Acipenseridae","Amiidae","Catostomidae","Centrarchidae","Clupeidae","Cyprinidae","Esocidae","Gasterosteidae","Gobiidae","Ictaluridae","Lepisosteidae","Osmeridae","Percidae","Salmonidae","Sciaenidae"
"1","nhd_10595596","PL2005066","BLUE EARTH","MN","EAGLE LAKE","Eagle Lake",NA,NA,NA,"22-Apr-05",NA,NA,2005,NA,"UNKNOWN","UNKNOWN","UNKNOWN",NA,"UNKNOWN","Apr","UNKNOWN",NA,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-93.8926,44.1889,51,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2","nhd_10595596","S2003099","CARVER","MN","EAGLE LAKE","Eagle Lake",NA,NA,NA,"14-Apr-03",NA,NA,2003,NA,"","NATURAL","ENVIRONMENTAL CONDITION",NA,"Winterkill","Apr","WINTERKILL",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-93.8926,44.1889,8,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","nhd_10595614","PL2006113(S2006089)","WASECA","MN","REEDS LAKE","Reeds Lake",NA,NA,NA,"8-Jun-06",NA,NA,2006,NA,"","NATURAL","ENVIRONMENTAL CONDITION",NA,"Environmental stress with Columnaris","Jun","?",NA,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-93.613,44.187,110,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4","nhd_10595756","S2005207","BLUE EARTH","MN","RICE LAKE","Rice Lake",NA,NA,NA,"6-Aug-05",NA,NA,2005,NA,"UNKNOWN","UNKNOWN","UNKNOWN",NA,"UNKNOWN","Aug","UNKNOWN",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-93.8758,44.0486,74,"0","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5","nhd_10596486","S2011213","BLUE EARTH","MN","MAPLE RIVER","",NA,NA,NA,"12-Oct-11",NA,NA,2011,NA,"","NATURAL","ENVIRONMENTAL CONDITION",NA,"DIRECT TEMPERATURE STRESS","Oct","?",NA,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-93.968842,43.881445,241,"0","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"6","nhd_1097324","PL2011172","RAMSEY","MN","WHITE BEAR LAKE","White Bear Lake",NA,NA,NA,"9-Jun-11",NA,NA,2011,NA,"","NATURAL","INFECTIOUS AGENTS",NA,"COLUMNARIS","Jun","INFECTIOUS AGENT",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",-92.9886,45.0765,229,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7","nhd_1097324","S2006084","WASHINGTON","MN","WHITE BEAR LAKE","White Bear Lake",NA,NA,NA,"6-Jun-06",NA,NA,2006,NA,"","NATURAL","INFECTIOUS AGENTS",NA,"COLUMNARIS","Jun","INFECTIOUS AGENT",NA,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-92.9886,45.0765,101,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8","nhd_1098396","S2007108","ANOKA","MN","COON LAKE","Coon Lake",NA,NA,NA,"1-Jun-07",NA,NA,2007,NA,"","NATURAL","INFECTIOUS AGENTS",NA,"COLUMNARIS","Jun","INFECTIOUS AGENT",NA,"0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",-93.167106,45.299459,137,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"9","nhd_1098928","S2013240","HENNEPIN","MN","ELM CREEK","Lemans Lake",NA,NA,NA,"13-Aug-13",NA,NA,2013,NA,"","NATURAL","ENVIRONMENTAL CONDITION",NA,"DISSOLVED OXYGEN","Aug","?",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",-93.415325,45.178554,279,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10","nhd_1099052","PL2011173","RAMSEY","MN","BALD EAGLE LAKE","Bald Eagle Lake",NA,NA,NA,"9-Jun-11",NA,NA,2011,NA,"UNKNOWN","UNKNOWN","UNKNOWN",NA,"UNKNOWN","Jun","UNKNOWN",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",-93.0141,45.1182,230,"0","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
