"","site_id","lat","long","year","month","fishkill.inv.seq.no","cause.group","anthropogenic","infectious","summerkill","thermal_stress","unknown","winterkill"
"1","nhd_7014051","43.67206093","-92.9718386","2003","jan","8","unknown",0,0,0,0,1,0
"2","nhd_1101882","44.89662953","-93.56473256","2003","apr","9","summerkill",0,0,1,0,0,0
"3","nhd_2384572","44.88645161","-93.46881123","2003","apr","10","summerkill",0,0,1,0,0,0
"4","nhd_6646370","45.56135133","-96.44396902","2003","apr","11","unknown",0,0,0,0,1,0
"6","nhd_10595596","44.19673204","-93.89609447","2003","apr","13","summerkill",0,0,1,0,0,0
"7","nhd_1101490","44.99316937","-93.33847984","2003","apr","14","summerkill",0,0,1,0,0,0
"8","nhd_10595598","44.19011573","-93.80212869","2003","apr","15","summerkill",0,0,1,0,0,0
"9","nhd_4250586","45.06433738","-93.68174837","2003","apr","16","infectious",0,1,0,0,0,0
"10","nhd_4412654","45.9062865","-95.8103655","2003","may","17","unknown",0,0,0,0,1,0
"11","nhd_2031703","44.39299465","-93.32393543","2003","may","18","infectious",0,1,0,0,0,0
"12","nhd_2031671","44.41499366","-93.34159494","2003","may","19","infectious",0,1,0,0,0,0
"13","nhd_4141086","44.30945245","-93.91844382","2003","jun","20","infectious",0,1,0,0,0,0
"14","nhd_120052017","45.40992204","-96.61179963","2003","jul","21","unknown",0,0,0,0,1,0
"15","nhd_1101684","44.94180224","-93.31175871","2003","aug","22","infectious",0,1,0,0,0,0
"16","nhd_2723937","45.27042477","-94.02649649","2003","aug","23","summerkill",0,0,1,0,0,0
"17","nhd_1101490","44.99316937","-93.33847984","2003","aug","24","summerkill",0,0,1,0,0,0
"18","nhd_4251934","45.10674448","-94.54001388","2003","aug","25","anthropogenic",1,0,0,0,0,0
"19","nhd_167122172","46.45509327","-94.34901297","2003","aug","26","summerkill",0,0,1,0,0,0
"20","nhd_6688281","46.86243201","-96.3739158","2003","aug","27","unknown",0,0,0,0,1,0
"21","nhd_4046678","44.30698677","-94.73378058","2003","sep","29","unknown",0,0,0,0,1,0
"22","nhd_4141906","44.18645696","-94.01703794","2003","oct","30","winterkill",0,0,0,0,0,1
"23","nhd_4122194","44.68609259","-95.53105159","2003","oct","31","unknown",0,0,0,0,1,0
"24","nhd_7157010","48.38947826","-93.42448456","2003","nov","32","anthropogenic",1,0,0,0,0,0
"25","nhd_13282702","43.07828338","-88.9305651","2004","jan","33","infectious",0,1,0,0,0,0
"26","nhd_2384650","44.8627981","-93.41399215","2004","mar","34","winterkill",0,0,0,0,0,1
"27","nhd_7028377","47.23271423","-95.64485816","2004","mar","35","winterkill",0,0,0,0,0,1
"28","nhd_6646370","45.56135133","-96.44396902","2004","apr","36","unknown",0,0,0,0,1,0
"29","nhd_1101722","44.933078","-93.67518393","2004","apr","37","winterkill",0,0,0,0,0,1
"30","nhd_1098804","45.20147139","-93.50499265","2004","apr","38","summerkill",0,0,1,0,0,0
"32","nhd_13102805","45.07114547","-90.94280908","2004","apr","40","winterkill",0,0,0,0,0,1
"33","nhd_14726396","45.34159136","-89.20103417","2004","may","41","unknown",0,0,0,0,1,0
"34","nhd_12174540","44.13826755","-88.03803445","2004","jun","42","infectious",0,1,0,0,0,0
"35","nhd_2647328","45.21430141","-92.57203735","2004","jun","43","infectious",0,1,0,0,0,0
"36","nhd_12161140","43.65325655","-88.2103717","2004","jun","44","infectious",0,1,0,0,0,0
"37","nhd_2264087","45.83989908","-91.82496915","2004","jun","45","infectious",0,1,0,0,0,0
"38","nhd_4141928","44.13949341","-94.14919307","2004","jun","46","unknown",0,0,0,0,1,0
"39","nhd_1101754","44.92173331","-93.30491681","2004","jun","47","infectious",0,1,0,0,0,0
"40","nhd_6819686","45.26131521","-88.31174217","2004","jun","48","infectious",0,1,0,0,0,0
"41","nhd_1855083","45.9955634","-92.1363665","2004","jun","49","infectious",0,1,0,0,0,0
"42","nhd_4415336","45.39048333","-95.56945189","2004","jun","50","unknown",0,0,0,0,1,0
"43","nhd_2643664","45.74124035","-92.58210679","2004","jun","51","infectious",0,1,0,0,0,0
"44","nhd_12177402","43.04704463","-87.89281373","2004","jun","52","infectious",0,1,0,0,0,0
"45","nhd_1850011","46.09332974","-91.98420612","2004","jun","53","infectious",0,1,0,0,0,0
