Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Category,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Bass,Bigmouth.Buffalo,Bowfin,Bluegill,Brown.Trout,Bullhead,Carp,Catfish,Channel.Catfish,Chub,Cisco,Crappie,Dace,Darter,Dogfish,Drum,Freshwater.Drum,Gar,Gizzard.Shad,Golden.Shiner,Largemouth.Bass,Minnow,Muskies,Northern.Pike,Perch,Pike,Pumpkinseed,Rainbow.Smelt,Rock.Bass,Round.Goby,Sauger,Sculpin,Shorthead.Redhorse,Smallmouth.Bass,Stickleback,Stonecat,Sturgeon,Suckerfish,Sunfish,Sunnies,Trout,Walleye,White.Sucker,Whitefish,Yellow.Perch,Lat,Long
88,PL2006068,NA,MN,NA,,,,,,18-Apr-06,Summer,Winter,2006,,NATURAL,ENVIRONMENTAL CONDITION,,KNOWN,DISSOLVED OXYGEN,DISSOLVED OXYGEN,Apr,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
110,PL2006113(S2006089),WASECA,MN,REEDS LAKE,,,,,,8-Jun-06,Summer,Summer,2006,,NATURAL,ENVIRONMENTAL CONDITION,,SUSPECTED,INFECTIOUS AGENT,COLUMNARIS,Jun,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.187    ,-93.613
148,PL2007105,DAKOTA,MN,CRYSTAL LAKE,,,,,,21-Jun-07,Summer,Summer,2007,,NATURAL,ENVIRONMENTAL CONDITION,,SUSPECTED,INFECTIOUS AGENT,COLUMNARIS,Jun,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44.7216,-93.2671
174,PL2008095,NOBLES,MN,OKABENA LAKE,,,,,,13-May-08,Summer,Winter,2008,,NATURAL,ENVIRONMENTAL CONDITION,,KNOWN,INFECTIOUS AGENT,GILL DISEASE,May,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.613   ,-95.6174
194,PL2009042,NA,MN,MISSISSIPI RIVER,,,,,,25-Mar-09,Winter,Winter,2009,,NATURAL,ENVIRONMENTAL CONDITION,,SUSPECTED,COMPOUND ENVIRONMENTAL STRESS,COMPOUND ENVIRONMENTAL STRESS,Mar,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA
197,PL2009101 (S2009069),WINONA,MN,WHITEWATER RIVER,,,,,,20-Apr-09,Summer,Winter,2009,,NATURAL,ENVIRONMENTAL CONDITION,,SUSPECTED,COMPOUND ENVIRONMENTAL STRESS,COMPOUND ENVIRONMENTAL STRESS,Apr,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.200455,-91.954836
204,PL2009334,SCOTT,MN,CEDAR LAKE,,,,,,16-Sep-09,Summer,Summer,2009,,NATURAL,ENVIRONMENTAL CONDITION,,SUSPECTED,COMPOUND ENVIRONMENTAL STRESS,COMPOUND ENVIRONMENTAL STRESS,Sep,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5889 ,-93.5214
233,PL2011202,ITASCA,MN,SAND LAKE,,,,,,28-Jun-11,Summer,Summer,2011,,NATURAL,ENVIRONMENTAL CONDITION,,SUSPECTED,INFECTIOUS AGENT,LYMPHOSARCOMA,Jun,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.611337,-94.001907
280,PL2013342 (S2013241),HOUSTON,MN,BEAVER CREEK,,,,,,15-Aug-13,Summer,Summer,2013,,NATURAL,ENVIRONMENTAL CONDITION,,,DISSOLVED OXYGEN,DISSOLVED OXYGEN,Aug,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43.648493,-91.581609
36,S2003062,HENNEPIN,MN,DIAMOND LAKE,,,,,,7-Apr-04,Summer,Winter,2004,,NATURAL,ENVIRONMENTAL CONDITION,,,DISSOLVED OXYGEN,DISSOLVED OXYGEN,Apr,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2,S2003077,RAMSEY,MN,RUSH LAKE,,,,,,30-Nov-02,Winter,Winter,2002,,NATURAL,ENVIRONMENTAL CONDITION,,,DISSOLVED OXYGEN,DISSOLVED OXYGEN,Nov,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,45.0804 ,-93.1932
3,S2003085,HENNEPIN,MN,NA,,,,,,1-Apr-03,Summer,Winter,2003,,NATURAL,ENVIRONMENTAL CONDITION,,,DISSOLVED OXYGEN,DISSOLVED OXYGEN,Apr,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NA,NA
