Lake_Name,Lake_ID,Nearest_Town,County,State
Pine,nhd_1000100,Finlayson,Aitkin,MN
Rice,nhd_1000500,Tamarack,Aitkin,MN
Douglas,nhd_1000900,Tamarack,Aitkin,MN
Nelson,nhd_1001000,Tamarack,Aitkin,MN
Savanna,nhd_1001400,McGregor,Aitkin,MN
Shumway,nhd_1001500,Tamarack,Aitkin,MN
Stony,nhd_1001700,Balsam,Aitkin,MN
Wolf,nhd_1001900,Tamarack,Aitkin,MN
Floodwood Pond,nhd_1002100,Hartley Spur,Aitkin,MN
Island,nhd_1002200,Tamarack,Aitkin,MN
Round,nhd_1002300,Tamarack,Aitkin,MN
Loon,nhd_1002400,McGregor,Aitkin,MN
Sheriff,nhd_1002700,Lawler,Aitkin,MN
Starvation,nhd_1002800,East Lake,Aitkin,MN
Mud,nhd_1002900,Grayling,Aitkin,MN
Anderson,nhd_1003100,Sheshebee,Aitkin,MN
Camp,nhd_1003200,Tamarack,Aitkin,MN
Minnewawa,nhd_1003300,McGregor,Aitkin,MN
Horseshoe,nhd_1003400,Tamarack,Aitkin,MN
Mud,nhd_1003500,Minnewawa,Aitkin,MN
Wakefield,nhd_1003600,Jacobson,Aitkin,MN
Remote,nhd_1003800,McGregor,Aitkin,MN
Aitkin,nhd_1004000,Libby,Aitkin,MN
Glacier,nhd_1004200,Balsam,Aitkin,MN
Blackface,nhd_1004500,Ball Bluff,Aitkin,MN
Ball Bluff,nhd_1004600,Jacobson,Aitkin,MN
Long,nhd_1004700,Ball Bluff,Aitkin,MN
Little Blackface,nhd_1004800,Ball Bluff,Aitkin,MN
Bay,nhd_1004900,Jacobson,Aitkin,MN
Rat House,nhd_1005300,Ball Bluff,Aitkin,MN
Boot,nhd_1005500,Jacobson,Aitkin,MN
Cutaway,nhd_1005600,Balsam,Aitkin,MN
Little Ball Bluff,nhd_1005700,Jacobson,Aitkin,MN
Vanduse,nhd_1005800,Jacobson,Aitkin,MN
Hay,nhd_1005900,Jacobson,Aitkin,MN
Sandy River,nhd_1006000,Minnewawa,Aitkin,MN
Flowage,nhd_1006100,Minnewawa,Aitkin,MN
Big Sandy,nhd_1006200,McGregor,Aitkin,MN
Bass,nhd_1006300,McGregor,Aitkin,MN
Bear,nhd_1006400,McGrath,Aitkin,MN
Cedar,nhd_1006500,McGrath,Aitkin,MN
Porcupine,nhd_1006600,Dads Corner,Aitkin,MN
Mandy,nhd_1006800,East Lake,Aitkin,MN
Portage,nhd_1006900,Kimberly,Aitkin,MN
Round,nhd_1007000,McGregor,Aitkin,MN
