Site,site_id,Prmnn_I,GNIS_ID,GNIS_Nm,ReachCd,FType,FCode,Lat,Long
1,nhd_10595596,10595596,643014,Eagle Lake,7.02E+12,390,39004,44.19673204,-93.89609447
2,nhd_10595598,10595598,647363,Madison Lake,7.02E+12,390,39004,44.19011573,-93.80212869
3,nhd_10595604,10595604,,,7.02E+12,390,39004,44.19698294,-93.92037973
4,nhd_10595608,10595608,1776078,Elysian Lake,7.02E+12,390,39009,44.1737347,-93.68948196
5,nhd_10595614,10595614,649911,Reeds Lake,7.02E+12,390,39004,44.18627016,-93.61422323
6,nhd_10595644,10595644,646642,Lilly Lake,7.02E+12,390,39004,44.16934575,-93.73945897
7,nhd_10595674,10595674,,,7.02E+12,390,39004,44.14037593,-93.93319287
8,nhd_10595690,10595690,640388,Born Lake,7.02E+12,390,39004,44.1340384,-93.77303746
9,nhd_10595748,10595748,1776128,Buffalo Lake,7.02E+12,390,39004,44.05709736,-93.721604
10,nhd_10595756,10595756,650031,Rice Lake,7.02E+12,390,39004,44.0481717,-93.87552076
11,nhd_10596422,10596422,,,7.02E+12,390,39004,43.98632265,-93.88873076
12,nhd_10596430,10596430,651874,Severson Lake,7.02E+12,390,39004,43.98410167,-93.80030582
13,nhd_10596440,10596440,,,7.02E+12,390,39004,43.96398976,-93.67305117
14,nhd_10596466,10596466,1776080,Saint Olaf Lake,7.02E+12,390,39004,43.90309032,-93.41680372
15,nhd_10596486,10596486,,,7.02E+12,390,39004,43.8704247,-93.99948235
16,nhd_10596500,10596500,,,7.02E+12,390,39004,43.84995859,-93.82377079
17,nhd_10596502,10596502,1776090,Minnesota Lake,7.02E+12,390,39009,43.8375304,-93.8609932
18,nhd_10596552,10596552,643917,Freeborn Lake,7.02E+12,390,39009,43.74396719,-93.56614536
19,nhd_10597308,10597308,645331,Ida Lake,7.02E+12,390,39004,43.91551398,-94.13781156
20,nhd_10597310,10597310,647304,Lura Lake,7.02E+12,390,39004,43.86588668,-94.02333024
21,nhd_10597314,10597314,639670,Bass Lake,7.02E+12,390,39004,43.81905131,-94.07908608
22,nhd_10847960,10847960,638656,Square Lake,4.09E+12,390,39004,42.60961413,-83.31170119
23,nhd_10848066,10848066,634078,Orange Lake,4.09E+12,390,39004,42.59140518,-83.2720818
24,nhd_10848220,10848220,626806,Gilbert Lake,4.09E+12,390,39004,42.55842772,-83.27743749
25,nhd_10848298,10848298,632048,Meadow Lake,4.09E+12,390,39004,42.54036684,-83.31337545
26,nhd_10848338,10848338,1615718,Walled Lake,4.09E+12,390,39004,42.52046328,-83.48152999
27,nhd_1096982,1096982,648972,Oneka Lake,7.01E+12,390,39004,45.17918949,-92.96878343
28,nhd_1097222,1097222,643678,Fish Lake,7.01E+12,390,39004,45.12217865,-92.97773913
29,nhd_1097288,1097288,649500,Pine Tree Lake,7.01E+12,390,39004,45.10092342,-92.95390118
30,nhd_1097324,1097324,654076,White Bear Lake,7.01E+12,390,39004,45.0773045,-92.98046871
31,nhd_1097384,1097384,647044,Long Lake,7.01E+12,390,39004,45.07887848,-92.9485115
32,nhd_1097480,1097480,647200,Lost Lake,7.01E+12,390,39004,45.05245223,-92.96935955
33,nhd_1098318,1098318,655980,Devil Lake,7.01E+12,390,39004,45.33892436,-93.17338964
34,nhd_1098396,1098396,655799,Coon Lake,7.01E+12,390,39009,45.30549419,-93.16641193
