Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Group,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Sunnies,Bluegill,Crappie,Bass,Bullhead,Suckerfish,Trout,Gizzard.Shad,Round.Goby,Cisco,Pike,Snail,Muskies,Walleye,Carp,Freshwater.Drum,Perch,Catfish,Sculpin,Stickleback,Minnow,Bigmouth.Buffalo,Pumpkinseed,Drum,Darter,Dace,Chub,Crayfish,Shorthead.Redhorse,Frogs,Sunfish,Golden.Shiner,Bowfin,Dogfish,Sturgeon,Fish.Species
20,20,BROWN,WI,FOX RIVER,FOX RIVER,117900,104447,104447,722,14-Jun-07,Summer,Summer,2007,0.1,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,Excludable,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,BROWN,WI,TWIN HILL CREEK,TWIN HILL CREEK,89600,104440,104440,63,19-Aug-05,Summer,Summer,2005,3,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Aug,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
26,26,BROWN,WI,UNNAMED SINGLE-LINE STREAM T23N-R21E-S15,UNNAMED TRIB 200FT DS OF DORSET DR,5018176,51228391,10034354,2399,12-Aug-11,Summer,Summer,2011,2,NOT INVESTIGATED,UNKNOWN,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Aug,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
27,27,BUFFALO,WI,LITTLE BEAR CREEK,LITTLE BEAR CREEK,2048000,104422,104422,58,13-Jul-05,Summer,Summer,2005,4.7,ANTHROPOGENIC,TOXICITY,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
28,28,BUFFALO,WI,UNNAMED SINGLE-LINE STREAM T23N-R13W-S2,WEISENBECK VALLEY CREEK,2048500,104421,104421,56,13-Jul-05,Summer,Summer,2005,0.96,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
78,78,COLUMBIA,WI,ROWAN CREEK,ROWAN CREEK NEAR POYNETTE STP [FISH INVESTIGATION],1263700,2072,113004,2439,24-Sep-11,Summer,Summer,2011,0.25,ANTHROPOGENIC,TOXICITY,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
79,79,COLUMBIA,WI,SPRING CREEK,LODI SPRING CREEK,1261900,104449,104449,26,28-Jun-04,Summer,Summer,2004,0.05,UNKNOWN,TOXICITY,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
84,84,DANE,WI,BADGER MILL CREEK,BADGER MILL CREEK - STH. 69 UPSTREAM TO FENCELINE IN PASTURE,888100,129973,10011966,2934,11-Jul-12,Summer,Summer,2012,1,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,Excludable,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,87,DANE,WI,LAKE MENDOTA,LAKE MENDOTA_GENERAL LAKE STATION,805400,122559,10001207,1364,19-Apr-09,Summer,Winter,2009,15,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Apr,UNKNOWN,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,99,DANE,WI,SIXMILE CREEK,SIXMILE CREEK,805500,104419,104419,45,3-Jul-01,Summer,Summer,2001,1,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
