"","WBIC","site_id"
"1",2391200,"nhd_13120940"
"2",2676000,"nhd_2266249"
"3",590500,"nhd_6842259"
"4",2718500,"nhd_1852639"
"5",2467200,"nhd_2266195"
"6",703300,"nhd_6842315"
"7",2268300,"nhd_12991001"
"8",691800,"nhd_6842187"
"9",1539600,"nhd_13393729"
"10",2707300,"nhd_120053170"
"11",1537100,"nhd_13393891"
"12",650500,"nhd_6842473"
"13",998500,"nhd_13394011"
"14",1872100,"nhd_13343952"
"15",2722800,"nhd_1850171"
"16",1178200,"nhd_13391855"
"17",2269400,"nhd_12990873"
"18",1593400,"nhd_13393449"
"19",2670900,"nhd_2265947"
"20",2284000,"nhd_13349304"
"21",2045000,"nhd_12988067"
"22",1870200,"nhd_12990915"
"23",2742700,"nhd_2260889"
"24",2482600,NA
"25",2486500,"nhd_1849447"
"26",2754600,"nhd_1816293"
"27",2431300,"nhd_13117576"
"28",2495600,"nhd_2261023"
"29",2311100,"nhd_13343260"
"30",2501300,"nhd_1849607"
"31",2489300,"nhd_13118624"
"32",2479800,"nhd_1849739"
"33",2897300,"nhd_1849521"
"34",2303500,"nhd_13345288"
"35",1871700,"nhd_13345562"
"36",1631900,"nhd_13391511"
"37",1859100,"nhd_13118746"
"38",2335500,"nhd_13343540"
"39",2336100,"nhd_13343464"
"40",2327200,"nhd_13343592"
"41",2406900,"nhd_13117630"
"42",1569600,"nhd_13395173"
"43",2111700,"nhd_13079011"
"44",630800,"nhd_6842901"
"45",2483100,"nhd_2644032"
"46",2469800,"nhd_2267181"
"47",1833100,"nhd_13078835"
"48",1840100,"nhd_13078887"
"49",608800,"nhd_6842795"
"50",1882800,"nhd_13080617"
"51",995000,"nhd_13395147"
"52",1008200,"nhd_13395207"
"53",977500,"nhd_13393897"
"54",1610800,"nhd_13393943"
"55",2685200,"nhd_2264087"
"56",1612000,"nhd_13394359"
"57",1613500,"nhd_13394459"
"58",1588200,"nhd_13394453"
"59",2381100,"nhd_13119644"
"60",1588000,"nhd_13394367"
"61",979200,"nhd_13394735"
"62",2385100,NA
"63",2107600,"nhd_13078371"
"64",1581700,"nhd_13394743"
"65",1586800,"nhd_13394501"
"66",2488100,"nhd_2264807"
"67",637800,NA
"68",1018900,"nhd_13394981"
"69",1547700,"nhd_13395361"
"70",2627300,"nhd_2646348"
"71",2621100,"nhd_2644338"
"72",634300,"nhd_120052171"
"73",1763000,"nhd_13131865"
"74",1667400,NA
"75",2165100,"nhd_13102539"
"76",531300,NA
"77",1005600,"nhd_13399177"
"78",2478200,"nhd_2646486"
"79",2079800,"nhd_13083895"
"80",390600,"nhd_9026337"
"81",465600,NA
"82",981500,"nhd_14726264"
"83",182200,"nhd_9026511"
"84",391400,"nhd_9028447"
"85",384500,NA
"86",2079700,"nhd_13083933"
"87",427500,"nhd_6808056"
"88",371900,NA
"89",417400,"nhd_6808194"
"90",533300,"nhd_6819638"
"91",353200,"nhd_9026691"
"92",1764000,"nhd_13131941"
"93",451000,"nhd_6810876"
"94",454200,"nhd_6810864"
"95",324000,"nhd_9029757"
"96",312600,"nhd_9032369"
"97",339600,"nhd_9029669"
"98",329900,"nhd_9029707"
"99",325300,NA
"100",337600,"nhd_9029045"
"101",315000,NA
"102",187300,"nhd_9026747"
"103",446700,"nhd_6808828"
"104",732300,NA
"105",94700,"nhd_13063019"
"106",1410400,"nhd_167120891"
"107",1412200,"nhd_14730210"
"108",2184900,"nhd_13124080"
"109",2054200,NA
"110",284300,"nhd_120053487"
"111",994900,"nhd_14704086"
"112",267800,"nhd_9035799"
"113",277600,"nhd_9035717"
"114",258600,"nhd_9035957"
"115",67200,"nhd_12173070"
"116",105600,NA
"117",190200,"nhd_9036221"
"118",104800,"nhd_6864363"
"119",195400,"nhd_9036259"
"120",175700,"nhd_6866613"
"121",43300,NA
"122",106800,"nhd_6866363"
"123",146100,"nhd_120052176"
"124",54400,NA
"125",1642700,NA
"126",979000,"nhd_13630667"
"127",1283700,"nhd_13652630"
"128",854300,"nhd_13290780"
"129",854100,"nhd_13290764"
"130",779200,"nhd_13290840"
"131",1000700,"nhd_14708628"
"132",1000700,"nhd_14708628"
"133",44600,"nhd_12177402"
"134",784350,NA
"135",805000,"nhd_13293322"
"136",1205000,"nhd_13634431"
"137",1326600,"nhd_14707904"
"138",756700,"nhd_14768024"
"139",1609600,"nhd_13393943"
"140",721200,NA
"141",739100,"nhd_14783859"
"142",2339800,"nhd_13343900"
"143",1345700,"nhd_120052589"
"144",2068000,"nhd_120053694"
"145",2252200,"nhd_12991295"
"146",2459800,"nhd_2264127"
"147",2263400,"nhd_12991241"
"148",2393200,"nhd_13121108"
"149",1862200,"nhd_13121128"
"150",1482400,"nhd_14726480"
"151",2630700,"nhd_2644264"
"152",1882300,"nhd_13078497"
"153",1502400,NA
"154",850300,"nhd_13290832"
"155",2350400,"nhd_13124042"
"156",2634400,NA
"157",759800,"nhd_14767924"
"158",2246500,"nhd_12991369"
"159",2080000,"nhd_13081527"
"160",2691500,"nhd_1850011"
"161",1515400,"nhd_120052157"
"162",245650,"nhd_9036279"
