"","event","month","year","waterbody.name","county","state","long","lat","centrarchidae","percidae","esocidae","ictaluridae","cyprinidae","salmonidae","osmeridae","catostomidae","sciaenidae","lepisosteidae","bullhead","brown.trout","largemouth.bass","smallmouth.bass","minnow","cisco","channel.catfish","freshwater.drum","northern.pike","rainbow.smelt","walleye","carp","crappie","trout","sunfish","white.sucker","yellow.perch","muskies","bass","stonecat","gizzard.gizzard.shad","rockbass","sauger","gar","whitefish","unknown","summerkill","winterkill","anthropogenic","infectious"
"1","s2003006",1,"2003","cedar river","mower","mn","-92.972365","43.667391","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,0,0,0
"2","s2003085",4,"2003","","hennepin","mn",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"3","s2003087",4,"2003","gideon lake minnetonka","hennepin","mn","-93.579762","44.910314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
"4","s2003088",4,"2003","wing lake","hennepin","mn","-93.4762","44.9035 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"5","pl2003034",4,"2003","east toqua lake","big stone","mn","-96.4436","45.5614  ","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0",1,0,0,0,0
"6","s2003094",4,"2003","","rice","mn",NA,"","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,0,0,0
"7","s2003099",4,"2003","eagle lake","carver","mn","-93.8926","44.1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"8","s2003101",4,"2003","bassett creek","hennepin","mn","-93.354906","45.013178","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,1,0,0
"9","s2003103",4,"2003","madison lake","blue earth","mn","-93.808331","44.192717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"10","pl2003046",4,"2003","lake sarah","hennepin","mn","-93.6716","45.062 ","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0,0,0,0,1
"11","pl2003098",5,"2003","elk lake","grant","mn","-95.802646","45.866267","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,0,0,0
"12","s2003150",5,"2003","fox lake","rice","mn","-93.3236","44.3922 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
"13","s2003151",5,"2003","circle lake","rice","mn","-93.3459","44.4141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
"14","s2003171",6,"2003","hallet's pond","nicollet","mn","-93.952646","44.338106","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0,0,0,0,1
"15","pl2003121",7,"2003","big stone lake","big stone","mn","-96.7012","45.4258  ","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,0,0,0
"16","s2003205",7,"2003","","goodhue","mn",NA,"","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,1,0,0,0
