"","wbic","county","waterbody.name","event","year","month","sunnies","bluegill","crappie","bass","bullhead","suckerfish","trout","gizzard.shad","round.goby","cisco","pike","muskies","walleye","carp","sheapshead","perch","catfish","sculpin","stickleback","minnow","bigmouth.buffalo","pumpkinseed","drum","darter","dace","chub","redhorse","sunfish","golden.shiner","blowfin","dogfish","sturgeon","date","state","anthropogenic","infectious","summerkill","unknown","winterkill","acipenseridae","amiidae","catostomidae","centrarchidae","cottoidae","clupeidae","cyprinidae","esocidae","gasterosteidae","gobiidae","ictaluridae","percidae","salmonidae","sciaenidae","site","site_id","gnis_nm","lat","long","fish_families","fish_species"
"1","10000","milwaukee","kosciuszko park pond","78","2006",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-01-25","wi",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1000100","taylor","little rib lake","1794","2010",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-07","wi",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4399,"nhd_14729152","little rib lake",45.32017534,-90.22446217,NA,NA
"3","1000700","columbia","long lake","689","2008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-07","wi",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1003300","oneida","maud lake","1127","2008",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2008-04-24","wi",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1
"5","1006500","dane","mud lake","683","2008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-07","wi",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3995,"nhd_13631635","mud lake",43.29014162,-89.66420811,NA,NA
"6","1008200","oneida","nose lake","1128","2008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-25","wi",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3862,"nhd_13395207","nose lake",45.59962231,-89.57041893,NA,NA
"7","1009400","oneida","paradise lake","620","2007",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2007-06-14","wi",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3573,"nhd_13394051","paradise lake",45.86159555,-89.43042857,1,1
"8","1015500","oneida","south two lakes","1224","2008",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-07","wi",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1020400","oneida","sugar camp lake","782","2007",2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08-21","wi",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1021100","langlade","susan lake","1499","2004",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-05-01","wi",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4332,"nhd_14726396","susan lake",45.34159136,-89.20103417,NA,NA
